Accession	type
GSM466947	tumor
GSM466948	countrol
GSM466949	tumor
GSM466950	countrol
GSM466951	tumor
GSM466952	tumor
GSM466953	countrol
GSM466954	tumor
GSM466955	countrol
GSM466956	tumor
GSM466957	countrol
GSM466958	tumor
GSM466959	countrol
GSM466960	tumor
GSM466961	countrol
GSM466962	tumor
GSM466963	tumor
GSM466964	countrol
GSM466965	tumor
GSM466966	countrol
GSM466967	tumor
GSM466968	countrol
GSM466969	tumor
GSM466970	countrol
GSM466971	tumor
GSM466972	countrol
GSM466973	tumor
GSM466974	countrol
GSM466975	tumor
GSM466976	countrol
GSM466977	tumor
GSM466978	countrol
GSM466979	countrol
GSM466980	tumor
GSM466981	countrol
GSM466982	tumor
GSM466983	tumor
GSM466984	countrol
GSM466985	tumor
GSM466986	countrol
GSM466987	tumor
GSM466988	countrol
GSM466989	tumor
GSM466990	countrol
GSM466991	tumor
GSM466992	countrol
GSM466993	tumor
GSM466994	tumor
GSM466995	countrol
GSM466996	tumor
GSM466997	countrol
GSM466998	tumor
GSM466999	countrol
GSM467000	countrol
GSM467001	countrol
GSM467002	countrol
GSM467003	countrol
GSM467004	tumor
GSM467005	countrol
GSM467006	tumor
GSM467007	countrol
GSM467008	tumor
GSM467009	countrol
GSM467010	tumor
GSM467011	countrol
GSM467012	tumor
GSM467013	countrol
GSM467014	tumor
GSM467015	countrol
GSM467016	tumor
GSM467017	countrol
GSM467018	tumor
GSM467019	countrol
GSM467020	countrol
GSM467021	tumor
GSM467022	countrol
GSM467023	tumor
GSM467024	tumor
GSM467025	countrol
GSM467026	tumor
GSM467027	countrol
GSM467028	tumor
GSM467029	tumor
GSM467030	tumor
GSM467031	countrol
GSM467032	tumor
GSM467033	countrol
GSM467034	tumor
GSM467035	countrol
GSM467036	tumor
GSM467037	countrol
