id	z	HR	HR.95L	HR.95H	pvalue
VDAC1	4.88129326117538	1.92471666480562	1.47974290673369	2.50349856243451	1.05392374543273e-06
SLC25A42	-4.51148683900593	0.528000753569911	0.400070274160568	0.696839564887302	6.43747782688972e-06
ABAT	-4.26859181909163	0.621924671970958	0.500069716176063	0.773472748087797	1.96710853842813e-05
IVD	-4.05253924051833	0.649886305725834	0.527616465613279	0.800490958672124	5.06647227456143e-05
FAM210B	-3.82912553738865	0.624160608454096	0.490362671242651	0.794465990158965	0.000128599398348895
AMT	-3.77588313500604	0.697308237626977	0.578296584774494	0.840812121434279	0.000159441737729589
PXMP4	-3.74019503485213	0.750140426131042	0.645229002115001	0.872109990517396	0.000183877521698949
ACSS1	-3.72832876860405	0.736361711116943	0.626933820452469	0.864889645302174	0.000192753810142251
PGS1	-3.54363745685945	0.586949410402012	0.437134547881416	0.78810886039766	0.000394647525139081
HTATIP2	3.49481646306011	1.44096742063906	1.17402592906011	1.76860413040916	0.000474387850098089
HSPD1	3.49389861838103	1.47040847057514	1.184433554356	1.82543044511661	0.000476021750287651
VDAC2	3.47053455954936	1.6092009984572	1.23006580374168	2.10519457215922	0.000519423496300709
PAICS	3.46073484438958	1.44768307146405	1.17402444153373	1.78513002051788	0.000538703131353235
HSDL1	-3.43512754933143	0.61170318764267	0.462113159559884	0.809716802110922	0.000592274989419907
MOCS1	-3.39803119625051	0.63956424387909	0.494218882167616	0.827654379077133	0.0006787267994032
YARS2	3.38299200130067	1.5863382082016	1.21421293128055	2.07251038592242	0.000717007205424973
TOMM40	3.37358414440666	1.41382677470218	1.15616535042791	1.72891027059836	0.000741963656649786
CPS1	3.32169485254302	1.09306202365346	1.03715212655916	1.1519858629777	0.000894724854794016
CYCS	3.28405850760167	1.43089119459381	1.1554171016541	1.77204371290243	0.00102323677595159
GCDH	-3.27211911575076	0.570129863910578	0.407197148638178	0.798257214741751	0.00106744592923629
ECHDC2	-3.25391849137218	0.700347776897781	0.565119251159235	0.867935409383991	0.0011382493363151
TMEM11	3.24931720288982	1.677211145327	1.22777301671516	2.29117042622034	0.00115682401753174
ACAD8	-3.24671044860996	0.729982008333517	0.603666210455061	0.882729103040138	0.00116747099025618
ADHFE1	-3.20199337694098	0.680999333751223	0.538287793887698	0.861546737332045	0.00136480135940212
HSPA9	3.1999461833906	1.5570470566558	1.18718146329231	2.04214402903253	0.00137453250501541
CAT	-3.18762629687899	0.729919605925219	0.60146097265096	0.88581413481538	0.00143445797250852
ISCU	-3.17843600734748	0.554136909575787	0.385052589448318	0.797469548235356	0.00148071899897961
DTYMK	3.15789717573517	1.39243238013812	1.13380931985092	1.71004762380331	0.0015891159875428
HEMK1	-3.14095648096644	0.529525461115223	0.356116102789535	0.787375835501055	0.0016839705314082
MRPL15	3.12537427041518	1.35448019701877	1.11978917111745	1.6383589441977	0.00177578963719256
COQ10A	-3.12154321035804	0.594171713403752	0.428504254922725	0.823889193522282	0.00179905844101611
ACADSB	-3.096748801077	0.733676430158656	0.603088479658941	0.892540849851349	0.00195655595330583
ARMCX6	-3.07515815757094	0.631877727486115	0.471591259006084	0.846643051303598	0.0021039095435125
MTHFS	3.05820093896936	1.54997067463302	1.17043544321988	2.05257718923249	0.0022267021138802
MTFR1L	-3.04959899670819	0.54414564035082	0.368010690834214	0.804581185512875	0.00229147098551226
ALDH2	-3.03588843894445	0.785974290681403	0.672797172578784	0.918189925270228	0.00239828083193494
SFXN1	3.0334872398794	1.51321661499789	1.15788478274672	1.97759272599971	0.002417449344845
CYP27A1	-3.02203796164645	0.811587599275126	0.708817187675243	0.929258548960223	0.0025107905865332
LYRM9	-3.01337984894935	0.551034607718747	0.373969612324917	0.811935325482923	0.00258355321611692
MAOB	-2.984807145656	0.809958555097897	0.705269638101557	0.930187300763693	0.00283757163428778
SUOX	-2.97761406732807	0.636223220999501	0.472431458672835	0.85680150952711	0.00290501524223623
MPC1	-2.97483809969179	0.686195829697421	0.535417218169673	0.879435140886552	0.00293143216935628
COA6	2.95650926005137	1.31444783291321	1.09654033082353	1.57565851148641	0.0031114288852926
TTC19	-2.94345826009039	0.650607791012196	0.488668041381592	0.866212769979834	0.00324567586736834
DARS2	2.94335604118331	1.38813163187089	1.11580137830125	1.72692870332726	0.00324674784209337
SLC25A16	-2.943119160734	0.667107459483172	0.50947087233743	0.873518755755954	0.00324923325910751
ETHE1	2.92063161771245	1.32170118077789	1.09608369391986	1.59375969276796	0.00349322608648066
MRPS35	2.92002414967282	1.39276907577025	1.11507812512005	1.73961416220328	0.00350004261858296
UNG	2.89480869829237	1.39278882263691	1.11292544293274	1.7430284452393	0.003793896660326
TXNRD1	2.89354695528721	1.1516809018691	1.04661848325683	1.26728977268075	0.00380917331571386
PDP2	-2.87495621102522	0.548682500966471	0.364423746169693	0.826105570866498	0.00404083534942235
PPM1K	-2.86573014211502	0.666560994812206	0.50507793836546	0.879673266353505	0.0041604873672523
PDK2	-2.85417710092123	0.67628355999898	0.516985382631027	0.884666121887845	0.00431484700705025
OPA3	2.84450948252125	1.5995058697872	1.15726453224726	2.21074694349752	0.00444798618650396
PPOX	-2.82900426155299	0.684220745883967	0.526039618228478	0.889967243673791	0.00466930771972211
MMADHC	2.8249366912594	1.52452647621435	1.13782230491236	2.04265724678121	0.00472899587226304
DUT	2.82093966821997	1.54938996245956	1.14298027491981	2.10030681057805	0.00478832073128684
TBRG4	2.81866063883695	1.44930262886328	1.11968700698412	1.87595113360086	0.00482244738186429
SAMM50	2.79505603072577	1.71812791283641	1.17551624753257	2.51120606037034	0.00518907207890288
NSUN4	-2.77448647516066	0.513793779617692	0.320983806737268	0.822421699889395	0.00552889329308312
GLRX2	2.77257787420793	1.49803473799696	1.12575438773963	1.99342600898184	0.00556142109178164
ACOT7	2.76424488399295	1.34358524625585	1.08973242688791	1.65657299848533	0.00570547027429407
LDHD	-2.75525714955176	0.819040324837374	0.710615419465635	0.944008580920121	0.00586460229327321
LETM1	2.75455382374004	1.5271440940523	1.12990721083351	2.06403593289613	0.00587722221817677
AK2	-2.75400198477777	0.662961986761761	0.494818493247166	0.888242056206978	0.00588714111405678
BCL2L1	2.75117081148013	1.37951013262368	1.09694123237466	1.73486796725809	0.00593826702344745
DHRS1	-2.74642143060267	0.66173290725532	0.492849418213158	0.888487283057296	0.00602493151966266
MRPL51	2.74403621570448	1.43471080341222	1.10864717569227	1.85667283023782	0.00606888421960525
AGMAT	2.70492629612035	1.35215321280051	1.08664021746163	1.68254246576448	0.00683195460659411
MTFR2	2.70146143304544	1.31703679372432	1.07851762747574	1.60830557779888	0.00690354863453418
SIRT4	-2.69956946148758	0.58897680613355	0.40103563150055	0.864994656123969	0.00694292605085356
