Accession	type
GSM185812	tumor
GSM185811	Adjacent
GSM185813	Adjacent
GSM185814	tumor
GSM185815	Adjacent
GSM185816	tumor
GSM185817	Adjacent
GSM185818	tumor
GSM185819	Adjacent
GSM185820	tumor
GSM185821	Adjacent
GSM185822	tumor
GSM185823	Adjacent
GSM185824	tumor
GSM185825	Adjacent
GSM185826	tumor
GSM185827	Adjacent
GSM185828	tumor
GSM185829	Adjacent
GSM185830	tumor
GSM185831	Adjacent
GSM185832	tumor
GSM185833	Adjacent
GSM185834	tumor
GSM185835	Adjacent
GSM185836	tumor
GSM185837	Adjacent
GSM185838	tumor
GSM185839	
GSM185840	
GSM185841	Adjacent
GSM185842	tumor
GSM185843	Adjacent
GSM185844	tumor
GSM185845	Adjacent
GSM185846	tumor
GSM185847	Adjacent
GSM185848	tumor
GSM185849	Adjacent
GSM185850	tumor
GSM185851	Adjacent
GSM185852	tumor
GSM185853	Adjacent
GSM185854	tumor
GSM185855	Adjacent
GSM185856	tumor
GSM185857	Adjacent
GSM185858	tumor
GSM185859	Adjacent
GSM185860	tumor
GSM185861	Adjacent
GSM185862	tumor
GSM185863	Adjacent
GSM185864	tumor
GSM185865	Adjacent
GSM185866	tumor
GSM185867	
GSM185868	
GSM185869	
GSM185870	
GSM185871	
GSM185872	
GSM185873	tumor
GSM185874	tumor
GSM185875	tumor
GSM185876	tumor
