Accession	type
GSM475810	tumor
GSM475657	healthy
GSM475658	healthy
GSM475659	healthy
GSM475660	healthy
GSM475663	healthy
GSM475665	healthy
GSM475666	healthy
GSM475667	healthy
GSM475669	healthy
GSM475671	healthy
GSM475673	healthy
GSM475675	healthy
GSM475678	healthy
GSM475680	healthy
GSM475682	healthy
GSM475684	healthy
GSM475686	healthy
GSM475688	healthy
GSM475690	healthy
GSM475693	healthy
GSM475695	healthy
GSM475697	healthy
GSM475699	healthy
GSM475702	healthy
GSM475704	healthy
GSM475705	healthy
GSM475707	healthy
GSM475711	healthy
GSM475714	healthy
GSM475716	healthy
GSM475718	healthy
GSM475721	healthy
GSM475723	healthy
GSM475725	healthy
GSM475726	healthy
GSM475729	healthy
GSM475732	healthy
GSM475734	healthy
GSM475736	healthy
GSM475738	healthy
GSM475740	healthy
GSM475742	healthy
GSM475743	healthy
GSM475745	healthy
GSM475746	healthy
GSM475749	healthy
GSM475750	healthy
GSM475752	healthy
GSM475754	healthy
GSM475755	healthy
GSM475757	healthy
GSM475764	healthy
GSM475766	healthy
GSM475767	healthy
GSM475771	healthy
GSM475775	healthy
GSM475781	healthy
GSM475783	healthy
GSM475786	healthy
GSM475790	healthy
GSM475798	healthy
GSM475800	healthy
GSM475807	healthy
GSM475809	healthy
GSM475811	healthy
GSM475656	
GSM475661	
GSM475662	tumor
GSM475664	
GSM475668	
GSM475670	tumor
GSM475672	tumor
GSM475674	
GSM475676	tumor
GSM475677	tumor
GSM475679	tumor
GSM475681	tumor
GSM475683	tumor
GSM475685	tumor
GSM475687	tumor
GSM475689	tumor
GSM475691	tumor
GSM475692	tumor
GSM475694	
GSM475696	tumor
GSM475698	tumor
GSM475700	tumor
GSM475701	tumor
GSM475703	tumor
GSM475706	tumor
GSM475708	tumor
GSM475709	tumor
GSM475710	tumor
GSM475712	tumor
GSM475713	
GSM475715	tumor
GSM475717	
GSM475719	
GSM475720	
GSM475722	
GSM475724	
GSM475727	
GSM475728	
GSM475730	
GSM475731	
GSM475733	
GSM475735	
GSM475737	
GSM475739	
GSM475741	
GSM475744	
GSM475747	tumor
GSM475748	
GSM475751	
GSM475753	
GSM475756	
GSM475758	
GSM475759	
GSM475760	
GSM475761	tumor
GSM475762	
GSM475763	
GSM475765	tumor
GSM475768	tumor
GSM475769	
GSM475770	tumor
GSM475772	tumor
GSM475773	tumor
GSM475774	
GSM475776	
GSM475777	
GSM475778	
GSM475779	tumor
GSM475780	tumor
GSM475782	
GSM475784	tumor
GSM475785	
GSM475787	tumor
GSM475788	tumor
GSM475789	
GSM475791	
GSM475792	tumor
GSM475793	
GSM475794	tumor
GSM475795	tumor
GSM475796	tumor
GSM475797	tumor
GSM475799	tumor
GSM475801	
GSM475802	
GSM475803	tumor
GSM475804	
GSM475805	
GSM475806	
GSM475808	tumor

