ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
E2F TARGETS	E2F TARGETS	E2F TARGETS	195	0.707870703262624	2.58506850783839	1e-10	1e-09	2.94736842105263e-10	2773	tags=58%, list=14%, signal=50%	HMMR/RRM2/CDKN3/BIRC5/KIF4A/HMGA1/MAD2L1/CDC20/PLK1/MELK/MKI67/AURKA/MYBL2/DLGAP5/BUB1B/CDCA3/TK1/SPC25/TRIP13/DEPDC1/CDKN2A/CCNB2/CDK1/CDC25A/AURKB/GINS4/RACGAP1/UBE2S/KIF2C/RAD51AP1/MCM4/KPNA2/PTTG1/TOP2A/MTHFD2/CKS2/UBE2T/CENPE/PLK4/CKS1B/DSCC1/KIF18B/LMNB1/SPAG5/ORC6/ESPL1/CENPM/NME1/CCNE1/DIAPH3/MCM7/CDCA8/GINS3/ASF1B/CHEK1/ATAD2/TACC3/SPC24/NCAPD2/RAN/PCNA/RFC3/BRCA1/LYAR/MYC/PAICS/MCM6/TFRC/GINS1/RNASEH2A/MCM2/HMGB2/TMPO/POP7/E2F8/SNRPB/EZH2/PA2G4/RANBP1/UNG/CTPS1/CSE1L/TIMELESS/NUP107/RFC2/HMGB3/PSMC3IP/MCM5/POLA2/SUV39H1/NBN/TUBG1/EIF2S1/NOP56/TIPIN/PRKDC/DDX39A/STMN1/SLBP/ANP32E/TUBB/TBRG4/NUP205/HELLS/BRCA2/PRDX4/NOLC1/PHF5A/MCM3/RPA3/DCTPP1/DUT/CHEK2
G2M CHECKPOINT	G2M CHECKPOINT	G2M CHECKPOINT	189	0.708861574074539	2.57544264594157	1e-10	1e-09	2.94736842105263e-10	3473	tags=60%, list=18%, signal=50%	HMMR/UBE2C/PBK/CDKN3/CCNA2/BIRC5/KIF4A/EXO1/MT2A/UCK2/HMGA1/MAD2L1/SLC7A5/CDC20/PLK1/TPX2/MKI67/AURKA/NEK2/CENPA/CDC6/MYBL2/CDC45/PRC1/CCNB2/CDK1/TROAP/CDC25A/AURKB/RACGAP1/KIF23/UBE2S/TTK/KIF11/KIF2C/NDC80/NUSAP1/KPNA2/PTTG1/TOP2A/BUB1/CKS2/CENPE/PLK4/CKS1B/GINS2/LMNB1/ORC6/ESPL1/RAD54L/CENPF/CHEK1/TACC3/HIF1A/POLQ/KIF15/EFNA5/KIF20B/DBF4/MYC/MCM6/MCM2/FBXO5/SNRPD1/TMPO/EZH2/DTYMK/SLC38A1/STIL/TRAIP/ATF5/CHAF1A/SLC7A1/HMGB3/SAP30/MCM5/POLA2/INCENP/E2F2/DKC1/SUV39H1/BUB3/E2F1/ORC5/DDX39A/SMC2/STMN1/PRMT5/SQLE/RAD23B/CDC7/BRCA2/BCL3/RBL1/HSPA8/NOLC1/KPNB1/MCM3/MARCKS/HOXC10/NCL/PML/POLE/G3BP1/SMAD3/CDC25B/CCNF/CDC27/CDK4/CCND1/PRIM2/EGF/AMD1
HYPOXIA	HYPOXIA	HYPOXIA	191	0.604090645470523	2.20426096896324	1e-10	1e-09	2.94736842105263e-10	2759	tags=40%, list=14%, signal=35%	IGFBP1/PCK1/INHA/B4GALNT2/AKAP12/STC1/SLC2A1/ALDOB/ANGPTL4/STC2/TGFBI/PFKP/MT2A/ADM/TMEM45A/GAPDH/AK4/SERPINE1/CA12/LDHA/BCAN/DDIT4/PPARGC1A/PGK1/SULT2B1/ACKR3/PLAUR/CP/LOX/HK2/PLIN2/TPI1/SLC2A5/ALDOA/ANXA2/GPI/NDRG1/SCARB1/IGFBP3/HOXB9/FAM162A/ERRFI1/MIF/P4HA1/GLRX/S100A4/SRPX/GBE1/PGM2/F3/EDN2/TPBG/IL6/SLC2A3/CSRP2/SAP30/TPD52/P4HA2/PDK1/TGM2/PGF/ENO1/PDK3/TES/ENO2/IER3/IRS2/FOSL2/EFNA3/DDIT3/CHST3/PPFIA4/CCNG2/ISG20/TIPARP/NFIL3/MT1E
MTORC1 SIGNALING	MTORC1 SIGNALING	MTORC1 SIGNALING	195	0.670490834645458	2.44856120397061	1e-10	1e-09	2.94736842105263e-10	4218	tags=66%, list=21%, signal=52%	STC1/SLC2A1/EGLN3/NAMPT/PLOD2/RRM2/TXNRD1/GCLC/SLC7A5/GAPDH/PLK1/AURKA/AK4/ELOVL6/CDC25A/SLC7A11/MCM4/BUB1/LDHA/G6PD/DDIT4/MTHFD2/PGK1/TRIB3/HK2/HSPD1/TPI1/PNP/ALDOA/CCT6A/POLR3G/GPI/TUBA4A/GLA/TFRC/TOMM40/MCM2/HPRT1/HSPE1/P4HA1/GLRX/GBE1/PSPH/PSMD14/ASNS/PSAT1/UNG/MLLT11/IFRD1/PSMB5/SLC2A3/ME1/GMPS/HSPA9/PSMC4/PDK1/TUBG1/PHGDH/EBP/GSR/ENO1/GOT1/HSPA4/CACYBP/DDX39A/PRDX1/EIF2S2/ACTR3/PNO1/ADIPOR2/TES/SHMT2/SQLE/PDAP1/EEF1E1/PPIA/DHFR/ACSL3/PSMA4/SCD/RRP9/PSMD12/STIP1/PSMC2/NUP205/YKT6/DDIT3/SRD5A1/SLC9A3R1/STARD4/ABCF2/PSME3/ATP2A2/NFIL3/RDH11/PSMG1/SORD/SQSTM1/PSMA3/ETF1/CTSC/IMMT/SKAP2/HSP90B1/FADS1/HMGCR/CCNF/COPS5/HMBS/RPN1/ACLY/DHCR7/CANX/NFKBIB/TBK1/PSMC6/FADS2/HMGCS1/CDKN1A/PPA1/M6PR/SDF2L1/FGL2/SSR1/PGM1/ATP6V1D/TCEA1/NUFIP1
MYC TARGETS V1	MYC TARGETS V1	MYC TARGETS V1	194	0.705017343336851	2.57678793781214	1e-10	1e-09	2.94736842105263e-10	4085	tags=75%, list=21%, signal=60%	CCNA2/MAD2L1/CDC20/CDC45/MCM4/KPNA2/LDHA/PGK1/VDAC1/NME1/MCM7/HSPD1/RFC4/RAN/PCNA/CCT5/TYMS/MYC/MCM6/MCM2/HPRT1/SNRPD1/VDAC3/HSPE1/NOP16/PA2G4/RANBP1/CYC1/COX5A/PSMD14/CCT4/IFRD1/XPOT/SNRPG/CTPS1/TCP1/NPM1/UBA2/SNRPA1/MCM5/PSMC4/DDX21/AP3S1/SSBP1/BUB3/PSMA7/C1QBP/CCT7/PSMD8/CDK2/EIF2S1/PHB2/CCT3/EIF3J/NOP56/RPLP0/FBL/SNRPD2/HDGF/ABCE1/EIF2S2/PTGES3/PSMB3/SRPK1/CCT2/PRPS2/PPM1G/PPIA/PSMA6/PSMA4/SRM/RAD23B/PSMD7/RRM1/PABPC1/RRP9/GOT2/PWP1/RUVBL2/RPS5/HDAC2/EIF3B/GNL3/ERH/MRPL9/PHB/PSMD1/POLE3/PRDX4/AIMP2/RPS10/NOLC1/HNRNPC/EEF1B2/KPNB1/CSTF2/YWHAQ/VBP1/ILF2/DUT/CBX3/PSMB2/POLD2/NDUFAB1/APEX1/UBE2E1/LSM2/SLC25A3/ETF1/RPL18/NHP2/PSMA2/SET/G3BP1/COPS5/CNBP/EIF4E/CDK4/SNRPA/TRIM28/SSB/EIF4H/UBE2L3/RPS3/HDDC2/ACP1/PRDX3/CANX/IMPDH2/DEK/PSMA1/RPL6/CLNS1A/PSMC6/RPL14/EIF3D/USP1/NCBP1/RPS6/YWHAE/CAD/PSMD3/SERBP1/SYNCRIP/RSL1D1/DDX18
EPITHELIAL MESENCHYMAL TRANSITION	EPITHELIAL MESENCHYMAL TRANSITION	EPITHELIAL MESENCHYMAL TRANSITION	197	0.568490363482745	2.07956067745269	1.02100332828493e-09	8.50836106904111e-09	2.50772747298054e-09	3333	tags=49%, list=17%, signal=41%	DKK1/FBN2/LAMC2/PLOD2/TGFBI/PTHLH/LOXL2/SPOCK1/TFPI2/CXCL8/MMP1/VEGFC/MFAP5/SERPINE2/ITGA5/COL7A1/CDH2/BASP1/LAMA3/SERPINE1/SNAI2/MMP3/SPP1/PLAUR/PFN2/SFRP1/GREM1/LOX/CXCL6/SLC6A8/PDLIM4/MCM7/AREG/POSTN/TNC/ADAM12/RGS4/FOXC2/MMP14/CTHRC1/PVR/IGFBP3/LGALS1/CDH6/CALU/NNMT/PTX3/COL12A1/EDIL3/INHBA/IL6/ITGB1/GADD45A/FSTL3/COL11A1/TPM4/PCOLCE2/PLOD3/TGM2/PMEPA1/COL5A2/OXTR/MSX1/TIMP1/FN1/EMP3/VCAN/COL5A3/ANPEP/NT5E/CXCL1/SCG2/ITGA2/ENO2/FAP/PRRX1/GJA1/PLOD1/COLGALT1/THBS2/MXRA5/COL3A1/MEST/BMP1/IL15/GPC1/BDNF/IL32/ITGAV/CD44/TNFRSF12A/COL5A1/PPIB/CAPG/COL6A2/COL1A2
OXIDATIVE PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	184	0.567136237496323	2.06225294349295	2.07655642947419e-09	1.35186272718093e-08	3.98443751169115e-09	5325	tags=65%, list=27%, signal=48%	LDHA/VDAC1/MRPL15/CYCS/GPI/VDAC2/MRPS12/VDAC3/COX6B1/CYC1/COX5A/MRPL11/UQCRQ/HSPA9/NDUFA9/UQCRFS1/MDH2/PHB2/COX7A2/NDUFB4/COX7B/COX6A1/GRPEL1/UQCRH/TIMM10/UQCRC1/COX6C/COX5B/NDUFB3/ETFA/ATP6V1F/TIMM9/NDUFS6/HCCS/NDUFB5/GOT2/COX17/TIMM8B/OPA1/UQCRB/TOMM22/TIMM50/NDUFB6/DLD/MRPS30/NDUFS4/MRPS15/NDUFV2/NDUFA8/COX4I1/MRPL35/IDH3A/LDHB/NDUFAB1/HSD17B10/NDUFA1/SLC25A3/MDH1/IMMT/COX8A/LRPPRC/COX7A2L/TIMM17A/SLC25A5/MGST3/MRPS11/CS/MRPS22/NQO2/FH/COX7C/NDUFC1/DECR1/TIMM13/ETFB/NDUFS8/PRDX3/SLC25A6/NDUFB7/UQCR11/ATP6V0B/DLAT/SDHA/ATP6V1D/GLUD1/NDUFB1/NDUFS1/BAX/NDUFA3/PDHX/ATP6V1G1/IDH1/SDHB/IDH2/NDUFS2/MRPL34/CASP7/NDUFS3/NDUFB2/NDUFA6/IDH3G/UQCRC2/NDUFA2/SUPV3L1/ATP6V0E1/FXN/FDX1/PDHA1/ATP6V1E1/PDHB/NDUFS7/SDHD/HADHA/MTX2/ATP6V1H/NDUFB8/IDH3B/AFG3L2/SUCLA2/SLC25A11
GLYCOLYSIS	GLYCOLYSIS	GLYCOLYSIS	198	0.562116011669025	2.05898346661106	2.16298036348948e-09	1.35186272718093e-08	3.98443751169115e-09	2874	tags=39%, list=15%, signal=34%	STC1/EGLN3/ALDOB/PLOD2/ANGPTL4/STC2/TGFBI/HMMR/PFKP/ARTN/GCLC/CHST4/PKP2/GPR87/AURKA/AK4/CENPA/KIF20A/SLC16A3/DEPDC1/CDK1/LDHA/G6PD/DDIT4/PGK1/FKBP4/PYGL/TGFA/DSC2/HK2/B3GNT3/TPI1/TXN/ALDOA/PKM/IGFBP3/BIK/FAM162A/MET/MIF/P4HA1/GLRX/PGAM1/PGM2/TPBG/GYS2/ME1/B4GALT4/B4GALT1/SAP30/PSMC4/SPAG4/P4HA2/ENO1/MDH2/PDK3/GOT1/SLC25A10/VCAN/SOX9/STMN1/NT5E/PPIA/ENO2/RPE/IER3/GOT2/IRS2/HOMER1/EFNA3/HAX1/PPFIA4/PLOD1/DLD/ISG20/GNPDA1/NSDHL/GPC1
TNFA SIGNALING VIA NFKB	TNFA SIGNALING VIA NFKB	TNFA SIGNALING VIA NFKB	198	0.546151994990521	2.00050862206047	1.73716056062084e-08	9.65089200344911e-08	2.84447343259553e-08	3311	tags=43%, list=17%, signal=36%	IL1A/KYNU/SERPINB2/FOSL1/NAMPT/PLAU/CCL20/CXCL11/G0S2/CXCL10/SERPINE1/DUSP4/SPHK1/TNFAIP6/ACKR3/PLAUR/RIPK2/CXCL6/SOD2/DUSP5/BIRC3/LAMB3/CSF2/AREG/IL23A/GFPT2/IL1B/TNC/PHLDA1/FJX1/TAP1/MYC/BCL2A1/ATP2B1/IL15RA/PHLDA2/MSC/PTX3/MXD1/INHBA/CCL4/JAG1/F3/IER5/TNFRSF9/TNFSF9/IL6/GADD45A/SLC2A3/IRF1/DNAJB4/B4GALT1/CEBPB/GCH1/CLCF1/PMEPA1/CCL5/PDLIM5/F2RL1/CXCL1/IER3/SERPINB8/IRS2/ZC3H12A/FOSL2/IFIH1/BCL3/RELB/TGIF1/PLK2/LIF/MARCKS/TIPARP/NFIL3/TNFAIP2/SLC16A6/PANX1/SQSTM1/KLF4/TNIP1/TRIP10/SMAD3/CD44/TNIP2/TNF
MYC TARGETS V2	MYC TARGETS V2	MYC TARGETS V2	58	0.701389605131016	2.17535030955438	2.03890725376326e-07	1.01945362688163e-06	3.00470542659849e-07	4085	tags=74%, list=21%, signal=59%	PLK1/MCM4/PLK4/HK2/HSPD1/MYC/HSPE1/NOP16/PA2G4/UNG/NOP2/NPM1/MCM5/WDR43/TCOF1/NOP56/PUS1/MRTO4/TBRG4/SRM/RRP9/NIP7/GNL3/PHB/NDUFAF4/AIMP2/NOLC1/DCTPP1/CBX3/NOC4L/SORD/IPO4/UTP20/CDK4/PES1/FARSA/RABEPK/EXOSC5/IMP4/BYSL/GRWD1/RRP12/DDX18
